Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,dns,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Fuzzy_Hashing,Perceptual_Hashing,Label
100dof.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
daprofesional.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
webhop.net,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
westthamesphysio.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
columbiaathleticboosters.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
patogh-persian.persiangig.com,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
tradeadspace.info,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
erlegen.de,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
0catch.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
keliweb.it,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
karizcustomizeme.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
mkramer03.wixsite.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
app.syncus.mx,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
ecolerubanvert.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
im-creator.com,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
reurl.cc,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
linkby.tw,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
leilaocopart.net,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
djangogui.tuxfamily.org,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
poppinsonmackinac.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
compro-online.com,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
alma.sh,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
storage.cloud.google.com,0,1,1,2,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1
myprintscreen.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
madpath.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
ojcow.home.pl,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
adiscusion.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
sites.google.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
app.box.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1
sqiu.pro,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
vhupo-tours.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
766.at,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
agoda.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
baileysepictravel.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
tomarchiobibite.it,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
winnicapolska.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
mouserunner.net,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
intersal.es,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
ecopacking.com.ua,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
noc.su,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
fungshing.com.hk,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
lesaffaires.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
docs.revv.so,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
xxl.st,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
legalweb.info,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
nofeeshost.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1
susapflug.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
com-portal.de,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
onlyidea.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
hotm.art,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
christopher-cloos.com,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
t.ly,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
doable.nl,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
ipinfo.io,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
cjplogger.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
t.gp,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
parkwayorthopedics.ca,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
performanceacademia.com.br,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
urlscan.io,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
oifish.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
s.free.fr,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
gambolthemes.net,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
axieinfinlty.pages.dev,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
fiteref511.wixsite.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
scalepos.co.kr,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
6.je,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
115.at,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
weshop-sfr.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
studiohartdesign.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
ioaindia.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
pranazfinance.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
jfalling.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
amfgroup.ca,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
inboundmag.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
mail-king.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
secretariadegobierno.account.webconnex.com,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
ooguy.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
clinicafresa20.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
bellaitaliatour.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
geoffoglemusic.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
forbes.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
spg.pt,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
indiatimes.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
msn.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
hyderabadonline.in,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
recettessimples.fr,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
microsoft.com,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
github.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
amazon.in,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
dancetheyard.org,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
schmitzfotografia.com.br,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
bikeseoul.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
soundcloud.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
crowncenter.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
town.minamichita.lg.jp,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
google.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
metroretrovintage.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
facebook.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
github.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
phishing-website-detection-geeks.streamlit.app,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0
netflix.com,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
360.cn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
dribbble.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
instagram.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
github.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ibeani.co.uk,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
flipkart.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
github.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
landed.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
medicalplasticsnews.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
nnlm.gov,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
fidelity.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
paypal.com,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
ainewsletter.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
karenmillen.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
youtube.com,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
ibm.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
jiocinema.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
saffronart.com,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0
youtube.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
newsroom.accenture.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
globalreporting.org,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
lastpass.com,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
dribbble.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
fortune.com,0,0,1,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
udemy.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
dribbble.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
lanereport.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
senacases.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
prezi.com,0,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
aap.org,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
css-tricks.com,0,0,1,3,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
nih.gov,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
soundcloud.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
github.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
500px.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
walmart.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
classfmonline.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
github.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
cricbuzz.com,0,0,1,3,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
vespatales.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
uni-mainz.de,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
primevideo.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
olly.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
github.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
rewildingargentina.org,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
gitguardian.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
github.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
radware.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
niehs.nih.gov,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
coraevans.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
instagram.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
torahmates.org,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
bbc.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
musicvideoproduction.guru,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
github.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
github.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
medium.com,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
southbankmosaics.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
salesforce.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
bwresearch.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
archive.org,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
voicefmradio.co.uk,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sweatdrop.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
archive.ics.uci.edu,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
marrugeku.com.au,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
larepublica.co,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
smokefree.gov,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
soundcloud.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
roche.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
meet.google.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
pinterest.com,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
wikipedia.org,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
religionenlibertad.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
wellsfargo.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
pimpim.lt,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
cornerstoneinsurance.ca,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
